x,y,human20_585
18.24,96.42,49733.13137
18.26,96.65,40993.70289
18.29,96.89,19327.35473
18.32,97.13,2282.502705
18.35,97.36,8678.036363
18.37,97.6,13174.92912
18.4,97.84,8668.90537
18.42,98.08,14171.19304
18.45,98.31,27274.14735
18.47,98.55,60084.22529
18.5,98.79,244755.2701
18.52,99.03,141864.8152
18.54,99.27,38967.3528
18.56,99.51,25739.00883
18.58,99.75,20420.78227
18.6,99.98,27432.04628
18.62,100.22,23162.21311
18.64,100.46,35114.08756
18.66,100.7,30225.93311
18.67,100.94,13815.29802
18.69,101.18,3437.854536
18.7,101.42,12838.08148
18.72,101.66,6411.667527
18.73,101.9,9329.028991
18.75,102.14,7115.994706
18.76,102.38,37032.25463
18.77,102.62,7708.301736
18.78,102.86,12398.94352
18.79,103.1,5720.290984
18.8,103.34,10627.49866
18.81,103.58,11973.70908
18.82,103.82,5016.021589
18.83,104.06,863.8063079
18.84,104.3,4215.498429
18.84,104.54,24769.54086
18.85,104.78,74061.19204
18.86,105.02,196304.0337
18.86,105.26,402161.6394
18.87,105.5,
18.87,105.74,
18.87,105.98,
18.87,106.22,
18.87,106.47,
18.87,106.71,
18.87,106.95,
18.87,107.19,
18.87,107.43,
18.87,107.67,
18.87,107.91,
18.86,108.15,
18.86,108.39,
18.85,108.63,113668.8628
18.85,108.87,22611.71968
18.84,109.11,18515.78419
18.84,109.35,38550.47821
18.83,109.59,22835.74182
18.82,109.83,19915.77626
18.81,110.07,129370.1792
18.8,110.31,
18.79,110.55,
18.78,110.79,
18.77,111.03,
18.76,111.27,
18.74,111.51,
18.73,111.75,
18.72,111.99,
18.7,112.23,
18.68,112.47,
18.67,112.71,
18.65,112.95,
18.63,113.19,
18.61,113.43,
18.6,113.67,
18.58,113.91,
18.55,114.15,
18.53,114.38,
18.51,114.62,
18.49,114.86,
18.47,115.1,
18.44,115.34,
18.42,115.58,
18.39,115.81,
18.37,116.05,
18.34,116.29,
18.31,116.53,
18.29,116.76,
18.26,117,
18.23,117.24,
18.2,117.47,
18.17,117.71,
18.14,117.95,
18.1,118.18,
18.07,118.42,
18.04,118.65,
18.01,118.89,
17.97,119.12,
17.94,119.36,
17.9,119.59,
17.86,119.83,
17.83,120.06,
17.79,120.29,
17.75,120.53,31650.80746
17.71,120.76,5705.224848
17.67,121,15788.44529
17.63,121.23,84206.06233
17.59,121.46,273591.462
17.55,121.69,80631.14837
17.51,121.93,
17.47,122.16,
17.42,122.39,
17.38,122.62,
17.33,122.85,
17.29,123.08,
17.24,123.31,
17.2,123.54,
17.15,123.78,
17.1,124,
17.05,124.23,
17.01,124.46,
16.96,124.69,
16.91,124.92,
16.85,125.15,
16.8,125.38,
16.75,125.61,0
15.36,81.95,0
15.43,82.17,0
15.5,82.39,0
15.56,82.61,0
15.63,82.83,0
15.69,83.05,0
15.76,83.27,0
15.82,83.49,0
15.88,83.71,0
15.95,83.93,0
16.01,84.16,0
16.07,84.38,0
16.13,84.6,0
16.19,84.82,0
16.25,85.05,0
16.31,85.27,0
16.37,85.5,0
16.43,85.72,0
16.49,85.95,0
16.55,86.17,0
16.6,86.4,0
16.66,86.63,0
16.71,86.85,0
16.77,87.08,0
16.82,87.31,0
16.88,87.53,0
16.93,87.76,0
16.98,87.99,0
17.04,88.22,0
17.09,88.45,0
17.14,88.68,0
17.19,88.91,0
17.24,89.13,0
17.29,89.36,0
17.33,89.6,0
17.38,89.83,
17.43,90.06,
17.48,90.29,
17.52,90.52,
17.57,90.75,
17.61,90.98,
17.66,91.22,
17.7,91.45,
17.74,91.68,
17.78,91.91,
17.82,92.15,
17.87,92.38,
17.91,92.61,
17.95,92.85,
17.98,93.08,
18.02,93.32,
18.06,93.55,
18.1,93.79,
18.13,94.02,
18.17,94.26,
18.2,94.49,27259.25176
18.24,94.73,37069.74917
18.27,94.96,62085.2976
18.3,95.2,84787.55081
18.34,95.44,93747.4414
18.37,95.67,89798.00962
18.4,95.91,64362.86385
18.43,96.15,80879.32201
18.46,96.39,83549.85799
18.49,96.62,22063.20339
18.52,96.86,6787.353329
18.55,97.1,4421.001256
18.57,97.34,1499.54172
18.6,97.57,3797.618852
18.62,97.81,10033.00092
18.65,98.05,12085.76715
18.67,98.29,19967.43247
18.7,98.53,48469.13593
18.72,98.77,426452.3636
18.74,99.01,91941.28093
18.77,99.25,45845.56626
18.79,99.48,26591.16814
18.81,99.72,28272.46073
18.83,99.96,25512.6254
18.85,100.2,16851.83462
18.86,100.44,49101.13352
18.88,100.68,38327.85001
18.9,100.92,17520.59277
18.92,101.16,7937.192398
18.93,101.4,37155.21375
18.95,101.64,6009.38391
18.96,101.88,5520.23436
18.97,102.12,10043.7284
18.99,102.37,5260.503589
19,102.61,2615.341509
19.01,102.85,3036.247755
19.02,103.09,4011.863853
19.03,103.33,10159.98708
19.04,103.57,7679.957254
19.05,103.81,8114.413176
19.06,104.05,9712.466569
19.07,104.29,15369.75371
19.07,104.53,14565.85856
19.08,104.78,33610.64786
19.08,105.02,81614.0227
19.09,105.26,240415.72
19.09,105.5,
19.1,105.74,
19.1,105.98,
19.1,106.22,
19.1,106.46,
19.1,106.71,
19.1,106.95,
19.1,107.19,
19.1,107.43,
19.1,107.67,
19.1,107.91,
19.09,108.15,
19.09,108.4,
19.08,108.64,
19.08,108.88,72333.53995
19.07,109.12,41391.96069
19.06,109.36,36268.32208
19.06,109.6,78009.41482
19.05,109.84,83452.77777
19.04,110.08,108934.1069
19.03,110.32,
19.02,110.57,
19.01,110.81,
19,111.05,
18.98,111.29,
18.97,111.53,
18.96,111.77,
18.94,112.01,
18.93,112.25,
18.91,112.49,
18.89,112.73,
18.88,112.97,
18.86,113.21,
18.84,113.45,
18.82,113.69,
18.8,113.93,
18.78,114.17,
18.76,114.41,
18.74,114.65,
18.72,114.89,
18.69,115.12,
18.67,115.36,
18.64,115.6,
18.62,115.84,
18.59,116.08,
18.57,116.32,
18.54,116.55,
18.51,116.79,
18.48,117.03,
18.45,117.27,
18.42,117.5,
18.39,117.74,
18.36,117.98,
18.33,118.21,
18.3,118.45,
18.26,118.69,
18.23,118.92,
18.19,119.16,
18.16,119.39,
18.12,119.63,
18.09,119.87,
18.05,120.1,
18.01,120.33,
17.97,120.57,119909.6425
17.93,120.8,3845.771216
17.9,121.04,21892.35266
17.85,121.27,45719.35758
17.81,121.5,137633.9733
17.77,121.74,31575.13409
17.73,121.97,
17.69,122.2,
17.64,122.44,
17.6,122.67,
17.55,122.9,
17.51,123.13,
17.46,123.36,
17.42,123.59,
17.37,123.82,
17.32,124.06,
17.27,124.29,
17.22,124.52,
17.17,124.75,
17.12,124.97,
17.07,125.2,
17.02,125.43,
16.97,125.66,0
15.57,81.88,0
15.64,82.1,0
15.71,82.32,0
15.77,82.54,0
15.84,82.76,0
15.91,82.98,0
15.97,83.2,0
16.03,83.42,0
16.1,83.64,0
16.16,83.87,0
16.22,84.09,0
16.29,84.31,0
16.35,84.54,0
16.41,84.76,0
16.47,84.99,0
16.53,85.21,0
16.59,85.44,0
16.65,85.66,0
16.71,85.89,0
16.76,86.11,0
16.82,86.34,0
16.88,86.57,0
16.93,86.79,0
16.99,87.02,0
17.04,87.25,0
17.1,87.48,0
17.15,87.71,0
17.2,87.93,0
17.25,88.16,0
17.31,88.39,0
17.36,88.62,0
17.41,88.85,0
17.46,89.08,0
17.51,89.31,0
17.55,89.54,0
17.6,89.78,
17.65,90.01,
17.7,90.24,
17.74,90.47,
17.79,90.7,
17.83,90.94,
17.88,91.17,
17.92,91.4,
17.96,91.64,
18.01,91.87,
18.05,92.1,
18.09,92.34,
18.13,92.57,
18.17,92.81,
18.21,93.04,
18.25,93.28,
18.28,93.51,
18.32,93.75,
18.36,93.98,
18.39,94.22,
18.43,94.46,28222.20125
18.46,94.69,33124.8054
18.5,94.93,42987.27219
18.53,95.17,126046.624
18.56,95.4,86835.58948
18.59,95.64,97053.62223
18.63,95.88,81594.77429
18.66,96.12,54007.75257
18.69,96.35,104787.7595
18.71,96.59,17553.31925
18.74,96.83,7408.114445
18.77,97.07,12883.21522
18.8,97.31,3865.315169
18.83,97.55,4099.036557
18.85,97.79,9850.777983
18.88,98.02,12878.75624
18.9,98.26,10756.80803
18.92,98.5,17660.47547
18.95,98.74,101093.0944
18.97,98.98,79957.41052
18.99,99.22,34140.59324
19.01,99.46,36526.86708
19.03,99.7,69973.17279
19.05,99.94,37005.82118
19.07,100.18,11424.2627
19.09,100.42,16169.99671
19.11,100.66,47926.38288
19.13,100.91,44267.86474
19.14,101.15,5728.093203
19.16,101.39,14221.96057
19.17,101.63,45086.60609
19.19,101.87,2756.731363
19.2,102.11,16527.4827
19.21,102.35,5572.205511
19.23,102.59,1406.868464
19.24,102.83,4731.529808
19.25,103.08,19792.45358
19.26,103.32,15360.78879
19.27,103.56,7867.610216
19.28,103.8,17128.20411
19.29,104.04,24141.96426
19.29,104.29,20070.17201
19.3,104.53,19556.24104
19.31,104.77,45996.71439
19.31,105.01,86232.43108
19.32,105.25,116685.8849
19.32,105.5,152651.9998
19.32,105.74,
19.33,105.98,
19.33,106.22,
19.33,106.46,
19.33,106.71,
19.33,106.95,
19.33,107.19,
19.33,107.43,
19.33,107.67,
19.32,107.92,
19.32,108.16,
19.32,108.4,
19.31,108.64,
19.31,108.88,132272.5992
19.3,109.13,115995.3598
19.29,109.37,245867.2984
19.28,109.61,86840.34768
19.28,109.85,169899.4574
19.27,110.09,132396.388
19.26,110.34,
19.25,110.58,
19.24,110.82,
19.22,111.06,
19.21,111.3,
19.2,111.54,
19.18,111.78,
19.17,112.02,
19.15,112.27,
19.14,112.51,
19.12,112.75,
19.1,112.99,
19.09,113.23,
19.07,113.47,
19.05,113.71,
19.03,113.95,
19.01,114.19,
18.99,114.43,
18.96,114.67,
18.94,114.91,
18.92,115.15,
18.89,115.39,
18.87,115.63,
18.84,115.87,
18.82,116.11,
18.79,116.35,
18.76,116.58,
18.74,116.82,
18.71,117.06,
18.68,117.3,
18.65,117.54,
18.62,117.77,
18.59,118.01,
18.55,118.25,
18.52,118.49,
18.49,118.72,
18.45,118.96,
18.42,119.2,
18.38,119.43,
18.35,119.67,
18.31,119.9,
18.27,120.14,
18.24,120.38,
18.2,120.61,34543.99364
18.16,120.84,10199.86568
18.12,121.08,18428.52239
18.08,121.31,73781.18323
18.04,121.55,95370.89056
17.99,121.78,41790.64462
17.95,122.02,
17.91,122.25,
17.87,122.48,
17.82,122.71,
17.78,122.95,
17.73,123.18,
17.68,123.41,
17.64,123.64,
17.59,123.87,
17.54,124.11,
17.49,124.34,
17.44,124.57,
