x,y,human20_585
15.71,84.73,32.275963
15.77,84.95,32.344696
15.82,85.17,32.378242
15.88,85.4,32.41316
15.94,85.62,32.38849
16,85.84,32.329308
16.06,86.07,32.239742
16.11,86.29,32.177273
16.17,86.52,32.116013
16.23,86.74,32.0648
16.28,86.97,32.02829
16.34,87.19,32.011795
16.39,87.42,31.962597
16.44,87.64,31.916048
16.5,87.87,31.853605
16.55,88.1,31.772652
16.6,88.33,31.66995
16.65,88.55,31.540432
16.7,88.78,31.393396
16.75,89.01,31.263508
16.8,89.24,31.084492
16.85,89.47,30.901834
16.9,89.7,30.699377
16.94,89.92,30.487997
16.99,90.15,30.24992
17.04,90.38,30.04705
17.08,90.61,29.821363
17.13,90.84,29.589031
17.17,91.08,29.331602
17.21,91.31,29.102955
17.26,91.54,28.837465
17.3,91.77,28.598255
17.34,92,28.344559
17.38,92.23,28.1146
17.42,92.46,27.858932
17.46,92.7,27.59148
17.5,92.93,27.33315
17.54,93.16,27.1525
17.58,93.4,26.964045
17.61,93.63,26.842781
17.65,93.86,26.755507
17.69,94.1,26.782438
17.72,94.33,26.664488
17.76,94.57,25.720358
17.79,94.8,25.16015
17.82,95.03,25.30651
17.86,95.27,24.169788
17.89,95.5,23.95767
17.92,95.74,23.433817
17.95,95.98,24.58418
17.98,96.21,24.153667
18.01,96.45,23.33174
18.04,96.68,22.45809
18.07,96.92,22.540201
18.1,97.16,24.369383
18.12,97.39,24.635574
18.15,97.63,24.174282
18.17,97.87,24.296228
18.2,98.1,24.493341
18.22,98.34,24.173359
18.25,98.58,23.444763
18.27,98.81,23.789637
18.29,99.05,24.31811
18.31,99.29,24.12959
18.33,99.53,24.07262
18.35,99.77,24.414637
18.37,100,24.122862
18.39,100.24,24.39898
18.41,100.48,25.016052
18.43,100.72,24.911798
18.45,100.96,25.127623
18.46,101.2,25.350227
18.48,101.44,25.37612
18.49,101.67,24.244007
18.51,101.91,24.065292
18.52,102.15,23.540792
18.53,102.39,23.860245
